Concept,Member,Member type,Sort Weight
fa947ba7-b00e-48a5-bd1b-1207b4836444,a89c3e56-1350-11df-a1f1-0026b9348838,concept-set,1
fa947ba7-b00e-48a5-bd1b-1207b4836444,a8982474-1350-11df-a1f1-0026b9348838,concept-set,2
fa947ba7-b00e-48a5-bd1b-1207b4836444,456a7f7a-a881-49b4-b4cc-4599fd0f1979,concept-set,4
